Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,year
119,Kazakhstan,97,95,444,48,4.58,34,2013
120,Gabon,96,89,547,84,5.7,67,2013
121,Brunei Darussalam,95,79,220,26,2.32,28,2013
122,Armenia,93,87,184,31,1.98,41,2013
123,Yemen,92,88,378,60,4.11,34,2013
124,Madagascar,91,83,386,66,4.24,50,2013
125,Grenada,87,82,322,14,3.7,28,2013
126,Laos,85,82,469,95,5.52,42,2013
127,Libya,82,75,317,27,3.87,32,2013
128,Togo,77,70,189,31,2.45,28,2013
129,Papua New Guinea,77,73,539,73,7,60,2013
130,Albania,76,76,157,11,2.07,36,2013
131,Mongolia,68,66,405,44,5.96,44,2013
132,Monaco,64,57,441,33,6.89,54,2013
133,Haiti,62,54,386,70,6.23,43,2013
134,Paraguay,60,56,422,26,7.03,50,2013
135,Dominican Republic,58,57,369,11,6.36,47,2013
136,Montenegro,57,56,97,16,1.7,16,2013
137,Guadeloupe,55,51,234,22,4.25,41,2013
138,Namibia,55,52,210,44,3.82,27,2013
139,Moldova,51,51,249,19,4.88,31,2013
140,Honduras,50,49,433,24,8.66,44,2013
141,Nicaragua,49,48,343,30,7,50,2013
142,Fiji,46,45,404,100,8.78,34,2013
143,Afghanistan,42,35,245,16,5.83,33,2013
144,Niger,42,41,380,35,9.05,40,2013
145,Kyrgyzstan,41,31,187,8,4.56,30,2013
146,Barbados,39,27,138,9,3.54,49,2013
147,El Salvador,38,31,147,18,3.87,35,2013
148,Myanmar,36,34,180,20,5,40,2013
149,Mauritius,35,33,132,14,3.77,31,2013
150,Greenland,35,35,120,27,3.43,29,2013
151,Uzbekistan,34,32,93,13,2.74,33,2013
152,New Caledonia,34,33,209,33,6.15,34,2013
153,Martinique,30,27,98,2,3.27,32,2013
154,Swaziland,30,28,174,10,5.8,31,2013
155,French Guiana,29,28,131,5,4.52,40,2013
156,Guinea-Bissau,28,27,163,51,5.82,48,2013
157,Angola,28,28,178,10,6.36,29,2013
158,Bhutan,27,27,138,18,5.11,12,2013
159,French Polynesia,26,24,109,25,4.19,33,2013
160,Reunion,25,22,80,0,3.2,26,2013
161,Democratic Republic Congo,24,21,151,6,6.29,37,2013
162,Guinea,23,22,160,16,6.96,38,2013
163,Dominica,23,19,83,0,3.61,16,2013
164,Sierra Leone,22,21,126,24,5.73,26,2013
165,Central African Republic,21,18,155,9,7.38,34,2013
166,Liechtenstein,20,19,109,10,5.45,22,2013
167,Suriname,19,16,40,9,2.11,24,2013
168,Liberia,18,17,110,12,6.11,17,2013
169,Burundi,16,15,39,4,2.44,27,2013
170,Bahamas,16,12,42,5,2.63,20,2013
171,Guam,15,15,82,4,5.47,36,2013
172,Seychelles,14,13,60,4,4.29,29,2013
173,Mauritania,14,12,30,9,2.14,19,2013
174,North Korea,14,12,51,0,3.64,34,2013
175,Tajikistan,14,14,51,3,3.64,16,2013
176,Chad,13,12,43,1,3.31,24,2013
177,Guyana,12,11,35,3,2.92,21,2013
178,Solomon Islands,11,9,53,10,4.82,20,2013
179,Vanuatu ,10,10,61,6,6.1,17,2013
180,Lesotho,10,10,42,2,4.2,17,2013
181,Faroe Islands,9,8,73,9,8.11,33,2013
182,Bermuda,9,9,76,5,8.44,12,2013
183,San Marino,8,7,39,2,4.88,18,2013
184,Netherlands Antilles,8,7,26,0,3.25,35,2013
185,American Samoa,7,7,66,3,9.43,13,2013
186,Aruba,7,5,11,0,1.57,8,2013
187,Antigua and Barbuda,7,7,31,1,4.43,8,2013
188,Belize,7,7,46,0,6.57,17,2013
189,Comoros,6,4,2,0,0.33,10,2013
190,Saint Kitts and Nevis,6,6,27,10,4.5,15,2013
191,Equatorial Guinea,6,6,43,8,7.17,18,2013
192,Cayman Islands,6,5,26,2,4.33,10,2013
193,Somalia,6,4,21,2,3.5,14,2013
194,Samoa,5,5,18,1,3.6,16,2013
195,Eritrea,5,3,11,0,2.2,22,2013
196,Cape Verde,5,4,31,2,6.2,10,2013
197,Virgin Islands (U.S.),5,5,40,0,8,11,2013
198,Palau,5,5,18,0,3.6,13,2013
199,Djibouti,5,5,9,1,1.8,14,2013
200,Maldives,5,5,11,0,2.2,8,2013
201,Anguilla,4,4,21,3,5.25,4,2013
202,Gibraltar,4,4,26,8,6.5,6,2013
203,Federated States of Micronesia,4,4,7,2,1.75,16,2013
204,Kiribati,4,4,7,1,1.75,4,2013
